timestamp,ir,red,heart_rate,spo2,AccX,AccY,AccZ,GyrX,GyrY,GyrZ,temp,gsr,cortisol
2025-03-06 09:31:00,190352,138914,88,,-1.95,3.98,8.79,-0.05,-0.02,0.01,25.8,1117,18.62
2025-03-06 09:31:02,190023,138333,82,,-1.97,3.95,8.79,0.01,-0.08,0.02,25.8,1115,18.78
2025-03-06 09:31:03,190191,138098,77,,-2.08,3.88,8.81,-0.05,-0.01,0.02,25.71,1089,18.78
2025-03-06 09:31:04,190301,138078,83,,-2.13,3.85,8.83,-0.05,0.0,0.01,25.71,1088,18.89
2025-03-06 09:31:07,190213,137869,74,,-2.15,3.84,8.84,-0.05,-0.02,0.01,25.8,1072,18.72
2025-03-06 09:31:07,189940,137351,75,,-2.22,3.76,8.86,-0.06,0.0,0.02,25.75,1021,19.3
2025-03-06 09:31:08,189970,137366,80,,-2.25,3.8,8.79,-0.06,0.0,0.01,25.8,1023,19.34
2025-03-06 09:31:09,189975,137270,82,,-2.25,3.75,8.79,-0.05,-0.02,0.02,25.75,1033,18.47
2025-03-06 09:31:09,190322,137311,81,,-2.26,3.69,8.82,-0.06,-0.01,0.02,25.75,960,18.63
2025-03-06 09:31:10,190688,137551,83,,-2.22,3.71,8.82,-0.06,-0.0,0.02,25.75,970,18.33
2025-03-06 09:31:10,190514,137422,81,,-2.26,3.73,8.92,-0.06,-0.0,0.01,25.85,977,19.23
2025-03-06 09:31:11,190483,137386,74,,-2.18,3.7,8.88,-0.03,-0.02,0.01,25.61,961,18.86
2025-03-06 09:31:16,1657,1260,87,,-2.77,3.45,8.76,-0.05,-0.02,0.02,25.71,1257,19.36
2025-03-06 09:31:18,2093,1257,85,,-2.8,3.38,8.77,-0.05,-0.0,0.01,25.85,1327,19.87
2025-03-06 09:31:18,2170,1224,87,,-2.8,3.41,8.78,-0.05,-0.01,0.02,25.8,1347,19.3
2025-03-06 09:31:21,2078,1202,73,,-2.8,3.42,8.76,-0.05,-0.01,0.01,25.75,993,18.48
2025-03-06 09:31:23,2141,1212,85,,-2.79,3.41,8.78,-0.05,-0.01,0.02,25.85,1469,21.7
2025-03-06 09:31:25,2137,1247,95,,-2.86,3.45,8.79,-0.05,-0.01,0.02,25.71,1482,19.76
2025-03-06 09:31:35,2173,1263,90,,-2.86,3.38,8.78,-0.05,-0.01,0.02,25.75,1328,19.68
2025-03-06 09:31:42,2132,1175,67,,-2.93,3.35,8.79,-0.05,-0.01,0.01,25.75,799,18.56
2025-03-06 09:31:45,2145,1218,72,,-2.82,3.41,8.75,-0.05,-0.02,0.01,25.75,715,17.72
2025-03-06 09:31:48,2170,1273,91,,-2.79,3.4,8.7,-0.05,-0.01,0.01,25.85,1392,19.28
2025-03-06 09:32:06,2230,1230,85,,-2.89,3.37,8.86,-0.05,-0.01,0.01,25.8,1049,18.44
2025-03-06 09:32:16,2169,1274,87,,-2.81,3.45,8.8,-0.05,-0.01,0.02,25.8,1402,19.13
2025-03-06 09:32:25,2253,1228,80,,-2.81,3.43,8.84,-0.05,-0.01,0.01,25.57,1066,19.05
2025-03-06 09:32:28,2240,1320,82,,-2.85,3.38,8.82,-0.05,-0.01,0.02,25.8,990,19.24
2025-03-06 09:32:29,2227,1258,72,,-2.85,3.4,8.86,-0.05,-0.01,0.02,25.8,777,18.51
2025-03-06 09:32:30,2226,1246,72,,-2.77,3.37,8.77,-0.05,-0.01,0.02,25.71,989,19.14
2025-03-06 09:32:31,2270,1312,71,,-2.86,3.36,8.8,-0.05,-0.02,0.02,25.75,926,18.4
2025-03-06 09:32:32,2238,1305,71,,-2.76,3.44,8.86,-0.05,-0.01,0.01,25.8,858,18.92
2025-03-06 09:32:33,2241,1314,73,,-2.83,3.39,8.64,-0.05,0.01,0.02,25.71,805,18.86
2025-03-06 09:32:35,2247,1273,68,,-2.83,3.43,8.81,-0.05,-0.01,0.02,25.8,720,17.89
2025-03-06 09:32:35,2204,1239,69,,-2.82,3.32,8.76,-0.05,-0.01,0.01,25.71,654,17.84
2025-03-06 09:32:36,2262,1289,76,,-2.82,3.4,8.81,-0.05,-0.02,0.02,25.75,656,18.42
2025-03-06 09:32:36,2251,1297,66,,-2.9,3.36,8.84,-0.05,-0.02,0.02,25.85,753,20.54
2025-03-06 09:32:37,2202,1245,71,,-2.97,3.37,8.73,-0.05,0.01,0.02,25.75,726,18.3
2025-03-06 09:32:37,2252,1314,74,,-2.82,3.25,8.63,-0.05,-0.02,0.01,25.85,718,18.18
2025-03-06 09:32:38,2298,1282,71,,-2.8,3.24,8.85,-0.05,-0.01,0.02,25.8,711,18.22
2025-03-06 09:32:38,2257,1294,65,,-2.82,3.27,8.83,-0.05,-0.02,0.01,25.8,731,18.45
